rodet;Serie;Diametre Rodet;Bandes;V (rpm);Potencia
A;Helix;0.06;0;100;12
A;Helix;0.06;0;200;16
A;Helix;0.06;0;300;18
A;Helix;0.06;0;400;24
A;Helix;0.06;0;500;32
A;Helix;0.06;0;600;38
A;Helix;0.06;0;100;8
A;Helix;0.06;0;200;10
A;Helix;0.06;0;300;12
A;Helix;0.06;0;400;14
A;Helix;0.06;0;500;16
A;Helix;0.06;0;600;18
A;Helix;0.06;0;700;20
A;Helix;0.06;0;1150;30
A;Helix;0.06;0;1250;36
A;Helix;0.06;0;100;8
A;Helix;0.06;0;200;10
A;Helix;0.06;0;300;12
A;Helix;0.06;0;400;14
A;Helix;0.06;0;500;16
A;Helix;0.06;0;600;18
A;Helix;0.06;0;700;20
A;Helix;0.06;0;1150;32
A;Helix;0.06;0;1250;36
A;Helix;0.06;3;100;8
A;Helix;0.06;3;200;10
A;Helix;0.06;3;100;6
A;Helix;0.06;3;200;8
A;Helix;0.06;3;300;10
A;Helix;0.06;3;400;12
A;Helix;0.06;3;500;14
A;Helix;0.06;3;600;16
A;Helix;0.06;3;700;20
A;Helix;0.06;3;1150;32
A;Helix;0.06;3;1250;36
A;Helix;0.06;3;100;6
A;Helix;0.06;3;200;8
A;Helix;0.06;3;300;10
A;Helix;0.06;3;400;12
A;Helix;0.06;3;500;14
A;Helix;0.06;3;600;16
A;Helix;0.06;3;700;18
A;Helix;0.06;3;1150;32
A;Helix;0.06;3;1250;36
B;Turbina;0.045;0;100;8
B;Turbina;0.045;0;200;10
B;Turbina;0.045;0;300;12
B;Turbina;0.045;0;400;14
B;Turbina;0.045;0;500;16
B;Turbina;0.045;0;600;18
B;Turbina;0.045;0;700;20
B;Turbina;0.045;0;1150;32
B;Turbina;0.045;0;1250;34
B;Turbina;0.045;0;100;6
B;Turbina;0.045;0;200;8
B;Turbina;0.045;0;300;10
B;Turbina;0.045;0;400;12
B;Turbina;0.045;0;500;14
B;Turbina;0.045;0;600;18
B;Turbina;0.045;0;700;20
B;Turbina;0.045;0;1150;30
B;Turbina;0.045;0;1250;34
B;Turbina;0.045;3;100;8
B;Turbina;0.045;3;200;8
B;Turbina;0.045;3;300;10
B;Turbina;0.045;3;400;12
B;Turbina;0.045;3;500;16
B;Turbina;0.045;3;600;18
B;Turbina;0.045;3;700;20
B;Turbina;0.045;3;1150;32
B;Turbina;0.045;3;1250;36
B;Turbina;0.045;3;100;8
B;Turbina;0.045;3;200;8
B;Turbina;0.045;3;300;10
B;Turbina;0.045;3;400;12
B;Turbina;0.045;3;500;14
B;Turbina;0.045;3;600;16
