Series;Rodet;Rodet Diameter;Bandes;V (rpm);Power (W)
A1.1;Helix;0.06;0;100;12
A1.1;Helix;0.06;0;200;16
A1.1;Helix;0.06;0;300;18
A1.1;Helix;0.06;0;400;24
A1.1;Helix;0.06;0;500;32
A1.1;Helix;0.06;0;600;38
A1.2;Helix;0.06;0;100;8
A1.2;Helix;0.06;0;200;10
A1.2;Helix;0.06;0;300;12
A1.2;Helix;0.06;0;400;14
A1.2;Helix;0.06;0;500;16
A1.2;Helix;0.06;0;600;18
A1.2;Helix;0.06;0;700;20
A1.2;Helix;0.06;0;1150;30
A1.2;Helix;0.06;0;1250;36
A1.2;Helix;0.06;0;100;8
A1.2;Helix;0.06;0;200;10
A1.2;Helix;0.06;0;300;12
A1.2;Helix;0.06;0;400;14
A1.2;Helix;0.06;0;500;16
A1.2;Helix;0.06;0;600;18
A1.2;Helix;0.06;0;700;20
A1.2;Helix;0.06;0;1150;32
A1.2;Helix;0.06;0;1250;36
A2.1;Helix;0.06;3;100;8
A2.1;Helix;0.06;3;200;10
A2.2;Helix;0.06;3;100;6
A2.2;Helix;0.06;3;200;8
A2.2;Helix;0.06;3;300;10
A2.2;Helix;0.06;3;400;12
A2.2;Helix;0.06;3;500;14
A2.2;Helix;0.06;3;600;16
A2.2;Helix;0.06;3;700;20
A2.2;Helix;0.06;3;1150;32
A2.2;Helix;0.06;3;1250;36
A2.2;Helix;0.06;3;100;6
A2.2;Helix;0.06;3;200;8
A2.2;Helix;0.06;3;300;10
A2.2;Helix;0.06;3;400;12
A2.2;Helix;0.06;3;500;14
A2.2;Helix;0.06;3;600;16
A2.2;Helix;0.06;3;700;18
A2.2;Helix;0.06;3;1150;32
A2.2;Helix;0.06;3;1250;36
B1.1;Turbina;0.045;0;100;8
B1.1;Turbina;0.045;0;200;10
B1.1;Turbina;0.045;0;300;12
B1.1;Turbina;0.045;0;400;14
B1.1;Turbina;0.045;0;500;16
B1.1;Turbina;0.045;0;600;18
B1.1;Turbina;0.045;0;700;20
B1.1;Turbina;0.045;0;1150;32
B1.1;Turbina;0.045;0;1250;34
B1.1;Turbina;0.045;0;100;6
B1.1;Turbina;0.045;0;200;8
B1.1;Turbina;0.045;0;300;10
B1.1;Turbina;0.045;0;400;12
B1.1;Turbina;0.045;0;500;14
B1.1;Turbina;0.045;0;600;18
B1.1;Turbina;0.045;0;700;20
B1.1;Turbina;0.045;0;1150;30
B1.1;Turbina;0.045;0;1250;34
B2.1;Turbina;0.045;3;100;8
B2.1;Turbina;0.045;3;200;8
B2.1;Turbina;0.045;3;300;10
B2.1;Turbina;0.045;3;400;12
B2.1;Turbina;0.045;3;500;16
B2.1;Turbina;0.045;3;600;18
B2.1;Turbina;0.045;3;700;20
B2.1;Turbina;0.045;3;1150;32
B2.1;Turbina;0.045;3;1250;36
B2.1;Turbina;0.045;3;100;8
B2.1;Turbina;0.045;3;200;8
B2.1;Turbina;0.045;3;300;10
B2.1;Turbina;0.045;3;400;12
B2.1;Turbina;0.045;3;500;14
B2.1;Turbina;0.045;3;600;16
B2.1;Turbina;0.045;3;700;20
B2.1;Turbina;0.045;3;1150;32
B2.1;Turbina;0.045;3;1250;36
