Series,Rodet Diameter,Bandes,velocitat,power,Re,Np,logRe,logNp,Circular,Disc,Helix,Turbina
A1.1,0.06,0,1.6666666666666667,12.0,98039.2156862745,3333.333333333333,11.493122837674049,8.111728083308073,0,0,1,0
A1.1,0.06,0,3.3333333333333335,16.0,196078.431372549,555.5555555555555,12.186270018233994,6.319968614080018,0,0,1,0
A1.1,0.06,0,5.0,18.0,294117.6470588235,185.18518518518522,12.591735126342158,5.221356325411908,0,0,1,0
A1.1,0.06,0,6.666666666666667,24.0,392156.862745098,104.16666666666666,12.87941719879394,4.645992180508347,0,0,1,0
A1.1,0.06,0,8.333333333333334,32.0,490196.07843137253,71.11111111111111,13.102560750108148,4.264243599017498,0,0,1,0
A1.1,0.06,0,10.0,38.0,588235.294117647,48.86831275720166,13.284882306902103,3.8891291855622936,0,0,1,0
A1.2,0.06,0,1.6666666666666667,8.0,98039.2156862745,2222.222222222222,11.493122837674049,7.706262975199909,0,0,1,0
A1.2,0.06,0,3.3333333333333335,10.0,196078.431372549,347.2222222222222,12.186270018233994,5.8499649848342825,0,0,1,0
A1.2,0.06,0,5.0,12.0,294117.6470588235,123.45679012345681,12.591735126342158,4.8158912173037445,0,0,1,0
A1.2,0.06,0,6.666666666666667,14.0,392156.862745098,60.763888888888886,12.87941719879394,4.106995679775659,0,0,1,0
A1.2,0.06,0,8.333333333333334,16.0,490196.07843137253,35.55555555555556,13.102560750108148,3.571096418457553,0,0,1,0
A1.2,0.06,0,10.0,18.0,588235.294117647,23.148148148148152,13.284882306902103,3.1419147837320724,0,0,1,0
A1.2,0.06,0,11.666666666666666,20.0,686274.5098039214,16.196954972465182,13.439032986729362,2.784823259908124,0,0,1,0
A1.2,0.06,0,19.166666666666668,30.0,1127450.9803921569,5.4793019369332345,13.935469873043253,1.700977709074615,0,0,1,0
A1.2,0.06,0,20.833333333333332,36.0,1225490.196078431,5.120000000000002,14.018851481982304,1.6331544390514168,0,0,1,0
A1.2,0.06,0,1.6666666666666667,8.0,98039.2156862745,2222.222222222222,11.493122837674049,7.706262975199909,0,0,1,0
A1.2,0.06,0,3.3333333333333335,10.0,196078.431372549,347.2222222222222,12.186270018233994,5.8499649848342825,0,0,1,0
A1.2,0.06,0,5.0,12.0,294117.6470588235,123.45679012345681,12.591735126342158,4.8158912173037445,0,0,1,0
